970.9/236,984.9/236,998.9/236,1012.9/236,1026.9/236,1040.99/236,1055/236,1069/236,1083.03/236,1097/236,970.9/250,984.9/250,998.9/250,1012.9/250,1026.9/250,1055/250,1069/250,1083.03/250,1097/250,970.9/264,984.9/264,998.9/264,1012.9/264,1026.9/264,1040.99/264,1055/264,1069/264,1083.03/264,1097/264,970.9/278,984.9/278,998.9/278,1012.9/278,1026.9/278,1040.99/278,1055/278,1069/278,1083.03/278,1097/278,970.9/292,984.9/292,998.9/292,1012.9/292,1026.9/292,1040.99/292,1055/292,1069/292,1083.03/292,1097/292,970.9/306,984.9/306,998.9/306,1012.9/306,1026.9/306,1040.99/306,1055/306,1069/306,1083.03/306,1097/306,970.9/320,984.9/320,998.9/320,1012.9/320,1026.9/320,1040.99/320,1055/320,1069/320,1083.03/320,1097/320,Condition,Sample
3407,25935,6291,8778,729,479,313,95,59,26,7547,10386,70811,12939,18152,1051,195,259,129,301,24117,34027,212678,39636,75479,2823,2315,135,108,2787,3785,9572,11149,93741,20155,24238,1425,645,124,1795,6359,4002,62582,74031,633959,99243,135614,365,38,330,93,2129,991,19760,21516,156271,23890,26784,593,31,6488,2429,3463,2889,45590,45275,263867,42234,41487,T,18-T-J9
12185,119402,18470,31851,1271,601,250,137,30,77,26162,26704,228941,29156,35139,2143,145,258,116,761,119771,99038,793866,95216,173087,5027,4663,150,134,881,7115,48905,36458,316251,43303,51663,1116,1958,74,4741,29323,15899,376426,286936,2904686,238504,374454,3112,158,2558,542,8644,3444,63739,58151,369960,40715,39774,735,89,17211,6954,24971,8408,185238,123958,767003,58116,81995,NT,18-NT-J11
4297,29764,7636,10480,1246,617,209,86,100,50,10327,12632,96207,14043,18278,943,312,216,129,230,29600,38104,246524,45901,72336,4667,2399,34,113,2992,4187,12430,13630,103781,24039,32257,1161,1213,135,3354,8205,4101,81339,95448,767110,127478,159799,3082,195,372,305,3408,1009,24621,36574,214391,33614,36006,726,367,3437,2587,6970,2897,50239,64652,353326,52713,48678,T,18-T-J11
2259,35409,4448,10783,506,440,181,217,105,90,4776,5355,45262,8002,9004,1061,495,368,155,163,17255,19001,148279,20219,43289,3506,601,99,173,1409,2733,8888,7730,61723,8455,14482,694,753,52,1678,6568,6869,62949,56992,560742,66276,131648,146,187,389,318,2029,390,12115,10188,97429,13291,14942,606,158,2331,1044,4081,1994,40767,35420,237469,29800,37475,NT,19-NT-J1
14045,103016,24675,35147,2361,1909,236,130,112,89,24465,29276,226808,45992,46208,3176,508,125,149,436,60259,94946,595953,97949,184369,7698,7752,67,23,2990,10827,42908,56224,284548,73616,85885,4810,3381,52,3735,25445,17172,243874,280485,2438677,394535,536415,332,77,849,2253,9732,5641,81739,106722,553631,95357,109194,5377,467,11109,6800,16485,10050,149984,161525,801566,129841,125228,T,19-T-J1
8219,50104,13762,17526,1048,1539,184,130,59,58,11111,18161,135656,28081,33846,1842,394,441,280,269,39110,60082,339640,65434,127992,6730,5809,67,128,5774,12494,24577,26865,200017,43805,56244,3896,1814,26,1003,17089,12570,151739,213958,1519692,259017,332133,1584,99,648,235,4666,3352,49944,64699,352881,65065,71433,663,356,8765,4321,14047,4237,96842,105278,572716,83861,94795,T,19-T-J9
4876,53378,8293,14253,682,441,165,149,144,52,4173,7690,68110,11986,13779,658,360,146,112,239,33925,23406,244498,27589,55951,1513,1113,121,71,821,3298,12465,8995,89494,12666,21963,544,564,77,2391,10094,7379,103292,76311,747495,90187,172281,977,220,204,261,2337,897,16652,13981,111852,12813,18966,659,63,4470,1903,8943,1426,53865,31496,259165,27995,41926,NT,19-NT-J11
4628,32406,7418,10570,483,401,620,145,91,110,7128,10745,71549,13538,21690,1112,196,247,99,62,23951,31519,199788,39289,70158,2930,1989,185,70,1801,4093,14196,18294,110053,32432,39505,2143,1292,110,792,10770,7801,89536,124859,957123,179885,242446,4055,74,376,462,2758,1041,33583,43245,254996,44875,47820,3520,56,4626,2123,8288,5525,62731,77934,424698,68495,73162,T,19-T-J11
17283,134329,19551,40119,1496,2056,384,130,388,195,20698,28027,206768,30578,42552,2120,516,571,77,5342,143700,98694,705257,90607,165370,8953,3044,135,106,4650,2992,53254,37219,286998,44733,60046,1478,1556,103,7505,35544,14822,326390,242905,2244268,256073,330231,1730,61,1195,2868,8147,1604,47424,39888,270211,27648,39569,1381,352,10137,5205,16841,4409,111108,71483,424929,41319,49277,NT,6-NT-J1
6275,51066,8719,15088,784,624,471,52,61,87,12850,14517,91879,15947,25703,1143,257,111,77,157,40595,40680,269215,45155,94380,6468,4325,231,138,1078,3533,12648,11612,89198,22004,27065,1281,1268,52,3062,8909,5692,77429,66008,575669,97315,151558,276,116,316,230,3127,1627,20554,17159,120838,22133,29548,1269,844,2836,2673,8187,3555,44423,37670,232865,38428,45660,T,6-T-J1
4121,31661,7132,12316,217,1077,410,138,30,26,9161,12831,68366,10792,17206,2317,224,344,180,669,30173,29200,184980,34278,58566,2179,2686,139,201,283,1918,11984,9696,59871,14784,22612,1113,695,77,2589,7698,2455,51441,52157,385094,73248,97432,2881,48,421,465,2625,1474,15551,16949,98167,15122,22290,719,185,6250,2361,6239,1995,33227,29414,179258,29028,32823,T,6-T-J9
10512,102749,16799,28009,1828,1887,604,92,141,52,21151,21371,161915,22309,34663,1254,339,211,113,1556,91692,63754,513069,65508,122940,3772,3307,168,119,1343,4896,35903,27586,202923,33305,45881,2101,1149,104,6536,25315,13459,235702,174527,1588607,184459,262219,133,64,439,810,4107,3028,35530,33177,201657,21080,29457,940,149,4886,3004,12887,6497,98947,63945,354718,37298,45744,NT,6-NT-J11
2988,25995,6132,9127,494,527,370,45,96,52,8194,11629,62550,12649,17586,1355,143,154,52,833,21370,24148,165780,30437,58624,2308,3644,133,142,2952,7791,9187,9447,58817,14290,20237,1477,534,100,500,6169,5353,44031,51791,429834,77059,102184,100,39,557,264,2330,711,13839,20524,111968,19868,26301,1422,63,2254,2366,6037,2182,35452,39210,226328,38920,42286,T,6-T-J11
10685,99960,16055,24580,1585,1074,184,189,199,72,27347,27472,186494,28454,33456,1184,236,131,207,1561,79435,74778,532952,64454,101946,3351,3050,98,21,2588,2035,40191,36778,263579,35362,37591,902,1383,141,2129,26527,8619,285584,243522,1799881,188670,240385,2947,86,512,333,5935,3348,55186,47983,270693,26824,31394,728,236,6794,4070,22213,8646,117689,77845,447774,43566,49840,NT,1-NT-J11
15854,83904,22338,26451,1811,1585,953,190,92,77,30755,45032,285190,62329,66740,4732,391,196,169,415,71484,106906,619933,125792,178051,10427,7599,117,264,6560,8883,33904,41229,241040,57090,66309,3327,3066,52,566,11510,11750,161713,209297,1389929,247911,267433,176,98,321,510,6308,3793,53898,80369,399673,72989,55236,2917,338,8735,4576,11027,7152,104071,110628,533413,75905,62071,T,1-T-J11
15877,186707,30526,56607,2862,2309,226,142,155,51,31113,32524,323167,45033,57620,3731,153,214,124,1444,134166,110036,1109983,115723,246274,6091,7163,115,47,3016,2470,44624,33936,305092,35451,63699,2256,2414,103,2681,32896,12419,313609,255993,2581886,279179,460318,4945,25,476,529,5590,2858,43787,35981,262692,26498,45386,1340,438,9855,3530,16285,6218,116874,71150,501702,51874,71132,NT,3-NT-J1
11626,60499,5679,6876,2300,200,180,138,443,26,24850,19035,73770,8158,7105,904,199,218,361,1373,80361,48765,210372,29172,20787,1869,318,689,194,4334,1492,32093,15808,74194,11072,10086,248,452,77,4467,29106,8118,98928,70911,423423,38688,46921,181,167,2692,580,3031,2392,10459,9964,47093,4262,5632,145,146,7157,1805,2624,1455,19044,10714,53626,6069,6475,NT,20-NT-J1
118812,711863,180176,193911,9569,6983,91,257,54,99,235413,354736,2065183,388068,368757,15616,147,368,263,2298,614680,898339,5790026,881728,1463294,65419,47356,1742,23,20012,24970,390243,525801,2966135,609394,644342,43440,18808,705,36500,140840,150343,2269205,2555091,16338210,2525310,2913970,70,235,1816,930,53302,41154,522015,663912,3446199,502429,376932,19068,235,48581,27953,115074,56471,772610,924460,3570405,483344,402437,T,20-T-J1
